1,Bagalkot,Badami
2,Bagalkot,Bagalkote
3,Bagalkot,Bilagi
4,Bagalkot,Guledagudda
5,Bagalkot,Hungund
6,Bagalkot,Ilkal
7,Bagalkot,Jamakhandi
8,Bagalkot,Mudhol
9,Bagalkot,RABAKAVI BANAHATTI
10,Ballari,Ballari
11,Ballari,Hadagali
12,Ballari,Hagaribommanahalli
13,Ballari,Harapanahalli
14,Ballari,Hospet
15,Ballari,Kampli
16,Ballari,Kotturu
17,Ballari,Kudligi
18,Ballari,Kurugodu
19,Ballari,Siraguppa
20,Ballari,Sonduru
21,Belagavi,Athani
22,Belagavi,Bailhongal
23,Belagavi,Belagavi
24,Belagavi,Chikkodi
25,Belagavi,Gokak
26,Belagavi,Hukkeri
27,Belagavi,Kagavada
28,Belagavi,Khanapur
29,Belagavi,Kitthuru
30,Belagavi,Mudalagi
31,Belagavi,Nippani
32,Belagavi,Raibag
33,Belagavi,Ramadurg
34,Belagavi,Savadatti
35,Bengaluru (Rural),Devanahalli
36,Bengaluru (Rural),Doddaballapura
37,Bengaluru (Rural),Hoskote
38,Bengaluru (Rural),Nelamangala
39,Bengaluru (Urban),Anekal
40,Bengaluru (Urban),Bangalore (North)
41,Bengaluru (Urban),Bangalore-East
42,Bengaluru (Urban),Bangalore-South
43,Bengaluru (Urban),Yelahanka
44,Bidar,Aurad
45,Bidar,Basavakalyan
46,Bidar,Bhalki
47,Bidar,Bidar
48,Bidar,Chittaguppa
49,Bidar,Hulasuru
50,Bidar,Humnabad
51,Bidar,Kamalanagara
52,Chamarajanagara,Chamarajanagara
53,Chamarajanagara,Gundlupet
54,Chamarajanagara,Kollegala
55,Chamarajanagara,Kollegala(Hanur)
56,Chamarajanagara,Yalandur
57,Chikkaballapura,Bagepalli
58,Chikkaballapura,chikballapur
59,Chikkaballapura,Chinthamani
60,Chikkaballapura,gauribidanur
61,Chikkaballapura,gudibande
62,Chikkaballapura,Shidlagatta
63,Chikkamagaluru,Ajjampura
64,Chikkamagaluru,Chikmagalur
65,Chikkamagaluru,Kadur
66,Chikkamagaluru,Koppa
67,Chikkamagaluru,Mudigere
68,Chikkamagaluru,Narasimharajapura
69,Chikkamagaluru,Sringeri
70,Chikkamagaluru,Tarikere
71,Chitradurga,Challakere
72,Chitradurga,chitradurga
73,Chitradurga,hiriyur
74,Chitradurga,holalkere
75,Chitradurga,hosadurga
76,Chitradurga,Molakalmuru
77,Dakshina Kannada,Bantwal
78,Dakshina Kannada,Belthangady
79,Dakshina Kannada,Kadaba
80,Dakshina Kannada,Mangalore
81,Dakshina Kannada,Mudabidri
82,Dakshina Kannada,Puttur
83,Dakshina Kannada,Sulya
84,Davanagere,Channagiri
85,Davanagere,Davanagere
86,Davanagere,Harihar
87,Davanagere,Honnali
88,Davanagere,Jagaluru
89,Davanagere,Nyamati
90,Dharwad,Alnavara
91,Dharwad,ANNIGERI
92,Dharwad,Dharwad
93,Dharwad,Hubballi Nagara
94,Dharwad,Hubli
95,Dharwad,Kalgatgi
96,Dharwad,Kundgol
97,Dharwad,Navalgund
98,Gadag,Gadag
99,Gadag,Gajendragad
100,Gadag,Laxmeshwar
101,Gadag,Mundargi
102,Gadag,Naragund
103,Gadag,Rona
104,Gadag,Shirahatti
105,Hassan,Alur
106,Hassan,Arkalgud
107,Hassan,Arsikere
108,Hassan,Belur
109,Hassan,Channarayapatna
110,Hassan,Hassan
111,Hassan,Holenarasipura
112,Hassan,Sakleshpura
113,Haveri,Byadagi
114,Haveri,Hangal
115,Haveri,Haveri
116,Haveri,Hirekerur
117,Haveri,Ranebennur
118,Haveri,Ratteehalli
119,Haveri,Savanur
120,Haveri,Shiggaon
121,Kalburgi,Afzalpur
122,Kalburgi,Aland
123,Kalburgi,Chincholi
124,Kalburgi,Chittapur
125,Kalburgi,Gulbarga
126,Kalburgi,Jevargi
127,Kalburgi,Kalagi
128,Kalburgi,Kamalapura
129,Kalburgi,Sedam
130,Kalburgi,Shahbadha
131,Kalburgi,Yadrami
132,Kodagu,Madikeri
133,Kodagu,somawarpet
134,Kodagu,Virajpet
135,Kolara,BANGARPET
136,Kolara,K.G.F
137,Kolara,Kolar
138,Kolara,Malur
139,Kolara,Mulabagilu
140,Kolara,Srinivaspura
141,Koppal,Gangavathi
142,Koppal,Kanakagiri
143,Koppal,Karatagi
144,Koppal,koppal
145,Koppal,Kukanuru
146,Koppal,Kushtagi
147,Koppal,yelburga
148,Mandya,Krishnarajpet
149,Mandya,Maddur
150,Mandya,Malavalli
151,Mandya,Mandya
152,Mandya,Nagamangala
153,Mandya,Pandavpura
154,Mandya,Srirangapatna
155,Mysuru,Heggadadevanakote
156,Mysuru,Hunsur
157,Mysuru,K.R.Nagar
158,Mysuru,Mysuru
159,Mysuru,Nanjangud
160,Mysuru,Piriyapatna
161,Mysuru,Saraguru
162,Mysuru,T.Narasipura
163,Raichur,Devdurga
164,Raichur,Lingasugur
165,Raichur,Manvi
166,Raichur,Maski
167,Raichur,Raichur
168,Raichur,Sindhanur
169,Raichur,Sirivara
170,Ramanagara,Channapatna
171,Ramanagara,Kanakpura
172,Ramanagara,Magadi
173,Ramanagara,Ramanagar
174,Shivamogga,Bhadravathi
175,Shivamogga,Hosanagar
176,Shivamogga,Sagara
177,Shivamogga,shikaripura
178,Shivamogga,shimoga
179,Shivamogga,Soraba
180,Shivamogga,Thirthahalli
181,Tumakuru,Chiknayakanahalli
182,Tumakuru,Gubbi
183,Tumakuru,Koratagere
184,Tumakuru,Kunigal
185,Tumakuru,Madhugiri
186,Tumakuru,Pavagada
187,Tumakuru,Sira
188,Tumakuru,Tiptur
189,Tumakuru,Tumkur
190,Tumakuru,Turuvekere
191,Udupi,Bramhavara
192,Udupi,Bynduru
193,Udupi,Hebri
194,Udupi,Kapu
195,Udupi,Karkala
196,Udupi,Kundapur
197,Udupi,Udupi
198,Uttara Kannada,Ankola
199,Uttara Kannada,Bhatkal
200,Uttara Kannada,Dandelli
201,Uttara Kannada,Haliyal
202,Uttara Kannada,Honnavar
203,Uttara Kannada,Joida
204,Uttara Kannada,Karwar
205,Uttara Kannada,Kumta
206,Uttara Kannada,Mundgod
207,Uttara Kannada,Siddapur
208,Uttara Kannada,Sirsi
209,Uttara Kannada,Yellapur
210,Vijayapura,Babaleshwara
211,Vijayapura,Basavan Bagewadi
212,Vijayapura,Bijapur
213,Vijayapura,Chadachana
214,Vijayapura,Devara Hipparagi
215,Vijayapura,Indi
216,Vijayapura,Kolhara
217,Vijayapura,Muddebihal
218,Vijayapura,Nidagundi
219,Vijayapura,Sindagi
220,Vijayapura,Talikote
221,Vijayapura,Tikota
222,Yadgir,Gurumithakala
223,Yadgir,Hunisigi
224,Yadgir,Shahapur
225,Yadgir,Shorapur
226,Yadgir,Vadagera
227,Yadgir,Yadgir
