1,ALL@ALL
2,ALL@Bagalkot
3,ALL@Ballari
4,ALL@Belagavi
5,ALL@Bengaluru (Rural)
6,ALL@Bengaluru (Urban)
7,ALL@Bidar
8,ALL@Chamarajanagara
9,ALL@Chikkaballapura
10,ALL@Chikkamagaluru
11,ALL@Chitradurga
12,ALL@Dakshina Kannada
13,ALL@Davanagere
14,ALL@Dharwad
15,ALL@Gadag
16,ALL@Hassan
17,ALL@Haveri
18,ALL@Kalburgi
19,ALL@Kodagu
20,ALL@Kolara
21,ALL@Koppal
22,ALL@Mandya
23,ALL@Mysuru
24,ALL@Raichur
25,ALL@Ramanagara
26,ALL@Shivamogga
27,ALL@Tumakuru
28,ALL@Udupi
29,ALL@Uttara Kannada
30,ALL@Vijayapura
31,ALL@Yadgir
32,Badami@Bagalkot
33,Bagalkote@Bagalkot
34,Bilagi@Bagalkot
35,Guledagudda@Bagalkot
36,Hungund@Bagalkot
37,Ilkal@Bagalkot
38,Jamakhandi@Bagalkot
39,Mudhol@Bagalkot
40,RABAKAVI BANAHATTI@Bagalkot
41,Ballari@Ballari
42,Hadagali@Ballari
43,Hagaribommanahalli@Ballari
44,Harapanahalli@Ballari
45,Hospet@Ballari
46,Kampli@Ballari
47,Kotturu@Ballari
48,Kudligi@Ballari
49,Kurugodu@Ballari
50,Siraguppa@Ballari
51,Sonduru@Ballari
52,Athani@Belagavi
53,Bailhongal@Belagavi
54,Belagavi@Belagavi
55,Chikkodi@Belagavi
56,Gokak@Belagavi
57,Hukkeri@Belagavi
58,Kagavada@Belagavi
59,Khanapur@Belagavi
60,Kitthuru@Belagavi
61,Mudalagi@Belagavi
62,Nippani@Belagavi
63,Raibag@Belagavi
64,Ramadurg@Belagavi
65,Savadatti@Belagavi
66,Devanahalli@Bengaluru (Rural)
67,Doddaballapura@Bengaluru (Rural)
68,Hoskote@Bengaluru (Rural)
69,Nelamangala@Bengaluru (Rural)
70,Anekal@Bengaluru (Urban)
71,Bangalore (North)@Bengaluru (Urban)
72,Bangalore-East@Bengaluru (Urban)
73,Bangalore-South@Bengaluru (Urban)
74,Yelahanka@Bengaluru (Urban)
75,Aurad@Bidar
76,Basavakalyan@Bidar
77,Bhalki@Bidar
78,Bidar@Bidar
79,Chittaguppa@Bidar
80,Hulasuru@Bidar
81,Humnabad@Bidar
82,Kamalanagara@Bidar
83,Chamarajanagara@Chamarajanagara
84,Gundlupet@Chamarajanagara
85,Kollegala@Chamarajanagara
86,Kollegala(Hanur)@Chamarajanagara
87,Yalandur@Chamarajanagara
88,Bagepalli@Chikkaballapura
89,chikballapur@Chikkaballapura
90,Chinthamani@Chikkaballapura
